# Saturn Phosphorus Haze 
# From Noy et al 1981 and Saturn MRS Paper

4.540540540540540349e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.558558558558559071e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.576576576576576016e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.594594594594594739e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.612612612612612573e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.630630630630630407e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.648648648648649129e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.666666666666666075e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.684684684684684797e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.702702702702702631e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.720720720720720465e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.738738738738739187e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.756756756756756133e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.774774774774774855e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.792792792792792689e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.810810810810810523e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.828828828828829245e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.846846846846846191e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.864864864864864913e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.882882882882882747e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.900900900900900581e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.918918918918919303e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.936936936936936249e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.954954954954954971e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.972972972972972805e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.990990990990990639e+00 1.820000000000000062e+00 5.000000000000000104e-03
5.009009009009009361e+00 1.820000000000000062e+00 5.000000000000000104e-03
5.027027027027027195e+00 1.820000000000000062e+00 5.000000000000000104e-03
5.045045045045045029e+00 1.820000000000000062e+00 5.000000000000000104e-03
5.063063063063062863e+00 1.820000000000000062e+00 5.000000000000000104e-03
5.081081081081080697e+00 1.820000000000000062e+00 5.000000000000000104e-03
5.099099099099099419e+00 1.820000000000000062e+00 5.000000000000000104e-03
5.117117117117117253e+00 1.820000000000000062e+00 5.000000000000000104e-03
5.135135135135135087e+00 1.820000000000000062e+00 5.000000000000000104e-03
