# Optical Properties of organic hazes made under water-rich (1000x solar), 300 K exoplanet conditions
# Citation: He, C., Radke, M.J., Moran, S.E., Hörst, S.M., Lewis, N.K., Moses, J.I., Batalha, N.E., Kempton, E.M.-R., Marley, M.S., Morley, C.V., Valenti, J.A., Vuitton, V. Optical Properties of Organic Haze Analogues in Water-rich Exoplanet Atmospheres Observable with JWST, Nature Astronomy, resubmitted

#index wavelength(microns) n	k
424 4.03298100e-01 1.78973530e+00 1.53511800e-03
425 4.03306000e-01 1.78973690e+00 1.54398800e-03
426 4.03313800e-01 1.78974620e+00 1.55100200e-03
427 4.03321600e-01 1.78974060e+00 1.55231900e-03
428 4.03329500e-01 1.78970340e+00 1.54879200e-03
429 4.03337300e-01 1.78963310e+00 1.54457200e-03
430 4.03345200e-01 1.78953930e+00 1.54543200e-03
431 4.03353000e-01 1.78943450e+00 1.55359900e-03
432 4.03360900e-01 1.78932940e+00 1.56656500e-03
433 4.03368700e-01 1.78923170e+00 1.58030300e-03
434 4.03376600e-01 1.78915080e+00 1.59130200e-03
435 4.03384400e-01 1.78909550e+00 1.59750700e-03
436 4.03392200e-01 1.78907220e+00 1.59933500e-03
437 4.03400100e-01 1.78908220e+00 1.59895300e-03
438 4.03407900e-01 1.78911890e+00 1.59875700e-03
439 4.03415800e-01 1.78916810e+00 1.60042400e-03
440 4.03423600e-01 1.78921030e+00 1.60434000e-03
441 4.03431500e-01 1.78922680e+00 1.60964900e-03
442 4.03439300e-01 1.78920640e+00 1.61563900e-03
443 4.03447200e-01 1.78915280e+00 1.62171400e-03
444 4.03455000e-01 1.78908140e+00 1.62800400e-03
445 4.03462900e-01 1.78901390e+00 1.63526100e-03
446 4.03470700e-01 1.78896550e+00 1.64272000e-03
447 4.03478600e-01 1.78893720e+00 1.64987600e-03
448 4.03486400e-01 1.78891760e+00 1.65617000e-03
449 4.03494300e-01 1.78889340e+00 1.66158000e-03
450 4.03502100e-01 1.78885880e+00 1.66832600e-03
451 4.03510000e-01 1.78881330e+00 1.67795000e-03
452 4.03517800e-01 1.78875690e+00 1.68888600e-03
