# Optical Properties of organic hazes made under water-rich (1000x solar), 400 K exoplanet conditions
# Citation: He, C., Radke, M.J., Moran, S.E., Hörst, S.M., Lewis, N.K., Moses, J.I., Batalha, N.E., Kempton, E.M.-R., Marley, M.S., Morley, C.V., Valenti, J.A., Vuitton, V. Optical Properties of Organic Haze Analogues in Water-rich Exoplanet Atmospheres Observable with JWST, Nature Astronomy, resubmitted
#index wavelength(microns) n	k
342 4.02656100e-01 1.81309980e+00 2.90385400e-03
343 4.02663900e-01 1.81308050e+00 2.93690900e-03
344 4.02671700e-01 1.81303390e+00 2.98163300e-03
345 4.02679600e-01 1.81297170e+00 3.01855800e-03
346 4.02687400e-01 1.81289370e+00 3.02941300e-03
347 4.02695200e-01 1.81280300e+00 3.01610800e-03
348 4.02703000e-01 1.81271030e+00 2.98809700e-03
349 4.02710800e-01 1.81262870e+00 2.95699900e-03
350 4.02718600e-01 1.81257930e+00 2.92499600e-03
351 4.02726500e-01 1.81256670e+00 2.88338000e-03
352 4.02734300e-01 1.81256790e+00 2.83873800e-03
353 4.02742100e-01 1.81254130e+00 2.80163500e-03
354 4.02749900e-01 1.81244870e+00 2.78236700e-03
355 4.02757700e-01 1.81228140e+00 2.78853600e-03
356 4.02765600e-01 1.81207070e+00 2.81114300e-03
357 4.02773400e-01 1.81186670e+00 2.83847600e-03
358 4.02781200e-01 1.81171250e+00 2.85958700e-03
359 4.02789000e-01 1.81164530e+00 2.86903200e-03
360 4.02796900e-01 1.81168460e+00 2.86996700e-03
361 4.02804700e-01 1.81180230e+00 2.87492200e-03
362 4.02812500e-01 1.81193800e+00 2.89217700e-03
363 4.02820300e-01 1.81203610e+00 2.92587600e-03
364 4.02828100e-01 1.81207470e+00 2.96571800e-03
365 4.02836000e-01 1.81207620e+00 2.99548100e-03
366 4.02843800e-01 1.81207020e+00 3.01020200e-03
367 4.02851600e-01 1.81205350e+00 3.00784500e-03
368 4.02859400e-01 1.81198980e+00 2.99695800e-03
369 4.02867300e-01 1.81184390e+00 2.98367700e-03
370 4.02875100e-01 1.81161710e+00 2.96923500e-03
371 4.02882900e-01 1.81136690e+00 2.95252700e-03
372 4.02890700e-01 1.81118110e+00 2.93035900e-03
373 4.02898600e-01 1.81113170e+00 2.91021300e-03
374 4.02906400e-01 1.81123990e+00 2.90218400e-03
375 4.02914200e-01 1.81142880e+00 2.91786100e-03
376 4.02922100e-01 1.81156960e+00 2.95862900e-03
377 4.02929900e-01 1.81159490e+00 3.00824400e-03
378 4.02937700e-01 1.81153940e+00 3.04837600e-03
379 4.02945500e-01 1.81150690e+00 3.06496400e-03
380 4.02953400e-01 1.81157190e+00 3.06054000e-03
381 4.02961200e-01 1.81169670e+00 3.04617900e-03
382 4.02969000e-01 1.81176570e+00 3.03036300e-03
383 4.02976900e-01 1.81169730e+00 3.01615300e-03
384 4.02984700e-01 1.81150970e+00 3.00501700e-03
385 4.02992500e-01 1.81127880e+00 2.99726200e-03
386 4.03000300e-01 1.81107250e+00 2.99205700e-03
387 4.03008200e-01 1.81092590e+00 2.98926600e-03
388 4.03016000e-01 1.81085050e+00 2.98552200e-03
389 4.03023800e-01 1.81083010e+00 2.98288500e-03
390 4.03031700e-01 1.81081320e+00 2.98587800e-03
391 4.03039500e-01 1.81074590e+00 2.99192400e-03
392 4.03047300e-01 1.81061800e+00 3.00189900e-03
393 4.03055200e-01 1.81048190e+00 3.01178000e-03
394 4.03063000e-01 1.81041520e+00 3.02135100e-03
395 4.03070800e-01 1.81043510e+00 3.03613400e-03
396 4.03078700e-01 1.81048410e+00 3.04970500e-03
397 4.03086500e-01 1.81051050e+00 3.05572600e-03
398 4.03094300e-01 1.81052590e+00 3.05249700e-03
399 4.03102200e-01 1.81056040e+00 3.04315700e-03
400 4.03110000e-01 1.81060540e+00 3.04113200e-03
401 4.03117800e-01 1.81063700e+00 3.04959900e-03
402 4.03125700e-01 1.81065320e+00 3.06596400e-03
403 4.03133500e-01 1.81065930e+00 3.08441000e-03
404 4.03141300e-01 1.81065180e+00 3.09374500e-03
405 4.03149200e-01 1.81061350e+00 3.09700100e-03
406 4.03157000e-01 1.81051310e+00 3.08982800e-03
407 4.03164900e-01 1.81035100e+00 3.06932000e-03
408 4.03172700e-01 1.81018300e+00 3.03855500e-03
409 4.03180500e-01 1.81005370e+00 3.00255800e-03
410 4.03188400e-01 1.80995260e+00 2.96921100e-03
411 4.03196200e-01 1.80986990e+00 2.94245300e-03
412 4.03204000e-01 1.80983450e+00 2.92286200e-03
413 4.03211900e-01 1.80988430e+00 2.90837700e-03
414 4.03219700e-01 1.81002130e+00 2.90219000e-03
415 4.03227600e-01 1.81017820e+00 2.90701700e-03
416 4.03235400e-01 1.81026010e+00 2.92358100e-03
417 4.03243200e-01 1.81023000e+00 2.94620500e-03
418 4.03251100e-01 1.81011110e+00 2.96558300e-03
419 4.03258900e-01 1.80993600e+00 2.97799800e-03
420 4.03266800e-01 1.80973500e+00 2.98249200e-03
421 4.03274600e-01 1.80954910e+00 2.98503500e-03
422 4.03282400e-01 1.80944190e+00 2.98988500e-03
423 4.03290300e-01 1.80948260e+00 3.00030800e-03
424 4.03298100e-01 1.80966310e+00 3.01651200e-03
425 4.03306000e-01 1.80987620e+00 3.03435000e-03
426 4.03313800e-01 1.81000470e+00 3.04735700e-03
427 4.03321600e-01 1.80999820e+00 3.05489600e-03
428 4.03329500e-01 1.80989030e+00 3.05414800e-03
429 4.03337300e-01 1.80974800e+00 3.04515600e-03
430 4.03345200e-01 1.80962990e+00 3.03358700e-03
431 4.03353000e-01 1.80956920e+00 3.01691000e-03
432 4.03360900e-01 1.80955280e+00 3.00069700e-03
433 4.03368700e-01 1.80953910e+00 2.99134900e-03
434 4.03376600e-01 1.80949770e+00 2.99392700e-03
435 4.03384400e-01 1.80944030e+00 3.00649600e-03
436 4.03392200e-01 1.80941970e+00 3.01917100e-03
437 4.03400100e-01 1.80947000e+00 3.02450500e-03
438 4.03407900e-01 1.80955150e+00 3.01955700e-03
439 4.03415800e-01 1.80957560e+00 3.01263300e-03
440 4.03423600e-01 1.80948600e+00 3.01581800e-03
441 4.03431500e-01 1.80931620e+00 3.03077500e-03
442 4.03439300e-01 1.80914080e+00 3.04826000e-03
443 4.03447200e-01 1.80901150e+00 3.05953700e-03
444 4.03455000e-01 1.80893670e+00 3.05336400e-03
445 4.03462900e-01 1.80888690e+00 3.03501700e-03
446 4.03470700e-01 1.80884300e+00 3.01416700e-03
447 4.03478600e-01 1.80881780e+00 2.99670100e-03
448 4.03486400e-01 1.80881710e+00 2.99030500e-03
449 4.03494300e-01 1.80881850e+00 2.99027600e-03
450 4.03502100e-01 1.80877310e+00 2.99125800e-03
451 4.03510000e-01 1.80865060e+00 2.99420100e-03
452 4.03517800e-01 1.80850010e+00 3.00423400e-03
