PRESS N2 O2 O3 H2O CH4 N2O CO2 CO
0.0003763 0.899987588418678 7.728E-08 1.264E-12 1.214E-05 1.536E-07 5.762E-14 0.1 4.07E-08
0.0003482 0.899987637838786 7.635E-08 1.159E-12 1.209E-05 1.53E-07 5.452E-14 0.1 4.281E-08
0.0003223 0.899987696688882 7.57E-08 1.066E-12 1.203E-05 1.525E-07 5.16E-14 0.1 4.511E-08
0.0002982 0.899987755058967 7.533E-08 9.844E-13 1.197E-05 1.52E-07 4.886E-14 0.1 4.761E-08
0.0002759 0.899987812879039 7.527E-08 9.143E-13 1.191E-05 1.515E-07 4.631E-14 0.1 5.035E-08
0.0002553 0.899987880049101 7.552E-08 8.547E-13 1.184E-05 1.511E-07 4.396E-14 0.1 5.333E-08
0.0002361 0.899987946629154 7.609E-08 8.047E-13 1.177E-05 1.507E-07 4.181E-14 0.1 5.658E-08
0.0002183 0.899988012609197 7.696E-08 7.633E-13 1.17E-05 1.503E-07 3.986E-14 0.1 6.013E-08
0.0002019 0.899988077969232 7.814E-08 7.296E-13 1.163E-05 1.499E-07 3.809E-14 0.1 6.399E-08
0.0001866 0.899988152589261 7.96E-08 7.028E-13 1.155E-05 1.496E-07 3.65E-14 0.1 6.821E-08
0.0001724 0.899988226539283 8.134E-08 6.822E-13 1.147E-05 1.493E-07 3.509E-14 0.1 7.282E-08
0.0001592 0.899988309799299 8.335E-08 6.671E-13 1.138E-05 1.49E-07 3.384E-14 0.1 7.785E-08
0.0001469 0.89998839235931 8.56E-08 6.569E-13 1.129E-05 1.487E-07 3.274E-14 0.1 8.334E-08
0.0001355 0.899988474089317 8.808E-08 6.514E-13 1.12E-05 1.485E-07 3.179E-14 0.1 8.933E-08
0.000125 0.899988565139319 9.077E-08 6.5E-13 1.11E-05 1.482E-07 3.098E-14 0.1 9.589E-08
0.0001152 0.899988655339317 9.366E-08 6.527E-13 1.1E-05 1.48E-07 3.029E-14 0.1 1.03E-07
0.0001061 0.899988754659311 9.674E-08 6.591E-13 1.089E-05 1.477E-07 2.973E-14 0.1 1.109E-07
9.767E-05 0.899988853009302 9.999E-08 6.692E-13 1.078E-05 1.475E-07 2.927E-14 0.1 1.195E-07
8.986E-05 0.899988960499288 1.034E-07 6.83E-13 1.066E-05 1.473E-07 2.891E-14 0.1 1.288E-07
8.263E-05 0.899989066799271 1.07E-07 7.005E-13 1.054E-05 1.471E-07 2.864E-14 0.1 1.391E-07
