PRESS N2 O2 O3 H2O CH4 N2O CO2 CO
1.982E-05 0.7539500154 0.21 1.305E-05 7.73E-06 2.177E-05 3.016E-07 3.60E-02 7.133E-06
1.813E-05 0.7539503969 0.21 1.295E-05 7.741E-06 2.177E-05 3.011E-07 3.60E-02 6.841E-06
1.66E-05 0.7539508094 0.21 1.282E-05 7.752E-06 2.176E-05 3.006E-07 3.60E-02 6.558E-06
1.519E-05 0.7539512518 0.21 1.265E-05 7.763E-06 2.175E-05 3.002E-07 3.60E-02 6.285E-06
1.391E-05 0.7539517043 0.21 1.245E-05 7.775E-06 2.175E-05 2.997E-07 3.60E-02 6.021E-06
1.274E-05 0.7539522088 0.21 1.22E-05 7.786E-06 2.174E-05 2.992E-07 3.60E-02 5.766E-06
1.168E-05 0.7539527343 0.21 1.192E-05 7.797E-06 2.173E-05 2.987E-07 3.60E-02 5.52E-06
1.07E-05 0.7539532767 0.21 1.161E-05 7.809E-06 2.172E-05 2.983E-07 3.60E-02 5.286E-06
9.813E-06 0.7539538472 0.21 1.125E-05 7.821E-06 2.172E-05 2.978E-07 3.60E-02 5.064E-06
9.001E-06 0.7539544347 0.21 1.087E-05 7.832E-06 2.171E-05 2.973E-07 3.60E-02 4.856E-06
8.259E-06 0.7539550472 0.21 1.045E-05 7.844E-06 2.17E-05 2.968E-07 3.60E-02 4.662E-06
7.581E-06 0.7539556638 0.21 1.001E-05 7.856E-06 2.169E-05 2.962E-07 3.60E-02 4.484E-06
6.961E-06 0.7539562943 0.21 9.541E-06 7.867E-06 2.168E-05 2.957E-07 3.60E-02 4.322E-06
6.393E-06 0.7539569078 0.21 9.061E-06 7.879E-06 2.168E-05 2.952E-07 3.60E-02 4.177E-06
5.874E-06 0.7539575283 0.21 8.569E-06 7.89E-06 2.167E-05 2.947E-07 3.60E-02 4.048E-06
5.398E-06 0.7539581358 0.21 8.071E-06 7.901E-06 2.166E-05 2.942E-07 3.60E-02 3.938E-06
4.963E-06 0.7539587253 0.21 7.573E-06 7.913E-06 2.165E-05 2.937E-07 3.60E-02 3.845E-06
4.563E-06 0.7539592949 0.21 7.078E-06 7.924E-06 2.164E-05 2.931E-07 3.60E-02 3.77E-06
4.198E-06 0.7539598364 0.21 6.593E-06 7.935E-06 2.163E-05 2.926E-07 3.60E-02 3.713E-06
3.862E-06 0.7539603379 0.21 6.119E-06 7.946E-06 2.163E-05 2.921E-07 3.60E-02 3.675E-06
3.555E-06 0.7539608155 0.21 5.661E-06 7.956E-06 2.162E-05 2.915E-07 3.60E-02 3.656E-06
3.272E-06 0.753961256 0.21 5.22E-06 7.967E-06 2.161E-05 2.91E-07 3.60E-02 3.656E-06
3.014E-06 0.7539616565 0.21 4.8E-06 7.978E-06 2.16E-05 2.905E-07 3.60E-02 3.675E-06
2.776E-06 0.753962017 0.21 4.4E-06 7.988E-06 2.159E-05 2.9E-07 3.60E-02 3.715E-06
2.558E-06 0.7539623345 0.21 4.023E-06 7.998E-06 2.158E-05 2.895E-07 3.60E-02 3.775E-06
2.357E-06 0.753962609 0.21 3.667E-06 8.008E-06 2.157E-05 2.89E-07 3.60E-02 3.857E-06
2.173E-06 0.7539628405 0.21 3.333E-06 8.018E-06 2.156E-05 2.885E-07 3.60E-02 3.96E-06
2.004E-06 0.753963026 0.21 3.021E-06 8.028E-06 2.155E-05 2.88E-07 3.60E-02 4.087E-06
1.849E-06 0.7539631695 0.21 2.729E-06 8.037E-06 2.154E-05 2.875E-07 3.60E-02 4.237E-06
1.706E-06 0.753963268 0.21 2.457E-06 8.047E-06 2.153E-05 2.87E-07 3.60E-02 4.411E-06
1.575E-06 0.7539633194 0.21 2.205E-06 8.057E-06 2.152E-05 2.866E-07 3.60E-02 4.612E-06
1.454E-06 0.7539633279 0.21 1.97E-06 8.067E-06 2.151E-05 2.861E-07 3.60E-02 4.839E-06
1.343E-06 0.7539632903 0.21 1.753E-06 8.076E-06 2.15E-05 2.857E-07 3.60E-02 5.095E-06
1.241E-06 0.7539632067 0.21 1.552E-06 8.086E-06 2.149E-05 2.853E-07 3.60E-02 5.38E-06
1.147E-06 0.7539630771 0.21 1.366E-06 8.096E-06 2.148E-05 2.849E-07 3.60E-02 5.696E-06
1.06E-06 0.7539629084 0.21 1.196E-06 8.106E-06 2.146E-05 2.846E-07 3.60E-02 6.045E-06
9.805E-07 0.7539626828 0.21 1.039E-06 8.117E-06 2.145E-05 2.842E-07 3.60E-02 6.427E-06
9.071E-07 0.7539624078 0.21 8.953E-07 8.127E-06 2.144E-05 2.839E-07 3.60E-02 6.846E-06
8.395E-07 0.7539620949 0.21 7.625E-07 8.138E-06 2.142E-05 2.836E-07 3.60E-02 7.301E-06
7.773E-07 0.7539617213 0.21 6.393E-07 8.149E-06 2.141E-05 2.834E-07 3.60E-02 7.797E-06
7.199E-07 0.7539613034 0.21 5.294E-07 8.159E-06 2.139E-05 2.832E-07 3.60E-02 8.335E-06
6.67E-07 0.7539607952 0.21 4.558E-07 8.163E-06 2.138E-05 2.83E-07 3.60E-02 8.923E-06
6.182E-07 0.7539601383 0.21 4.938E-07 8.154E-06 2.136E-05 2.829E-07 3.60E-02 9.571E-06
5.732E-07 0.7539592041 0.21 7.551E-07 8.138E-06 2.134E-05 2.828E-07 3.60E-02 1.028E-05
